nationality,region,enrolments,map_country
Bermuda,Americas,1,Bermuda
British Indian Ocean Territory,Sub-Saharan Africa,1,British Indian Ocean Territory
Burkina Faso,Sub-Saharan Africa,1,Burkina Faso
"Congo, Republic of",Sub-Saharan Africa,1,"Congo, Republic of"
Cook Islands,Oceania and Antarctica,1,Cook Islands
Guinea,Sub-Saharan Africa,1,Guinea
Guinea-Bissau,Sub-Saharan Africa,1,Guinea-Bissau
New Caledonia,Oceania and Antarctica,1,New Caledonia
Senegal,Sub-Saharan Africa,1,Senegal
St Helena,Sub-Saharan Africa,1,St Helena
St Vincent and the Grenadines,Americas,1,St Vincent and the Grenadines
"Virgin Islands, British",Americas,1,"Virgin Islands, British"
