state_code,state_name,region,nationality,year,enrolments,state_total,rank_in_state,share_of_state
NT,Northern Territory,North-East Asia,China,2025,316,5967,6,0.05295793531087649
NT,Northern Territory,Southern and Central Asia,Pakistan,2025,284,5967,7,0.04759510641863583
NT,Northern Territory,South-East Asia,Indonesia,2025,155,5967,8,0.02597620244679068
NT,Northern Territory,Southern and Central Asia,Sri Lanka,2025,133,5967,9,0.02228925758337523
NT,Northern Territory,Sub-Saharan Africa,Kenya,2025,75,5967,10,0.01256913021618904
NT,Northern Territory,Americas,Colombia,2025,69,5967,11,0.011563599798893917
NT,Northern Territory,South-East Asia,Thailand,2025,48,5967,12,0.008044243338360985
NT,Northern Territory,Southern and Central Asia,Bhutan,2025,39,5967,13,0.006535947712418301
NT,Northern Territory,Sub-Saharan Africa,Nigeria,2025,38,5967,14,0.00636835930953578
NT,Northern Territory,Americas,Brazil,2025,34,5967,15,0.005698005698005698
NT,Northern Territory,North-East Asia,Taiwan,2025,31,5967,16,0.005195240489358137
NT,Northern Territory,North-West Europe,United Kingdom,2025,28,5967,17,0.004692475280710575
NT,Northern Territory,Oceania and Antarctica,Fiji,2025,26,5967,18,0.004357298474945534
NT,Northern Territory,Sub-Saharan Africa,Zimbabwe,2025,24,5967,19,0.004022121669180492
NT,Northern Territory,South-East Asia,Cambodia,2025,19,5967,20,0.00318417965476789
QLD,Queensland,North-East Asia,China,2025,24937,148589,1,0.16782534373338537
QLD,Queensland,Southern and Central Asia,India,2025,22199,148589,2,0.14939867688725275
QLD,Queensland,Americas,Brazil,2025,10772,148589,3,0.07249527219376939
QLD,Queensland,South-East Asia,Philippines,2025,9538,148589,4,0.0641904851637739
QLD,Queensland,Americas,Colombia,2025,8648,148589,5,0.0582008089427885
QLD,Queensland,Southern and Central Asia,Nepal,2025,5716,148589,6,0.0384685272799467
QLD,Queensland,North-East Asia,Japan,2025,4647,148589,7,0.031274185841482206
QLD,Queensland,North-East Asia,Taiwan,2025,4450,148589,8,0.029948381104927015
QLD,Queensland,North-East Asia,"Korea, Republic of (South)",2025,4446,148589,9,0.029921461211798988
QLD,Queensland,South-East Asia,Thailand,2025,3803,148589,10,0.025594088391469087
QLD,Queensland,South-East Asia,Vietnam,2025,3486,148589,11,0.023460686861073162
QLD,Queensland,Southern and Eastern Europe,Spain,2025,2513,148589,12,0.016912422857681256
QLD,Queensland,North-East Asia,Hong Kong SAR,2025,2484,148589,13,0.01671725363250308
QLD,Queensland,Americas,United States of America,2025,2016,148589,14,0.013567626136524237
QLD,Queensland,Americas,Chile,2025,2000,148589,15,0.013459946564012141
QLD,Queensland,Southern and Central Asia,Bhutan,2025,1986,148589,16,0.013365726938064057
QLD,Queensland,South-East Asia,Indonesia,2025,1982,148589,17,0.013338807044936032
QLD,Queensland,Southern and Central Asia,Pakistan,2025,1844,148589,18,0.012410070732019194
QLD,Queensland,Southern and Central Asia,Sri Lanka,2025,1773,148589,19,0.011932242628996764
QLD,Queensland,Americas,Ecuador,2025,1647,148589,20,0.011084265995463999
SA,South Australia,Southern and Central Asia,India,2025,15844,57327,1,0.2763793674882691
SA,South Australia,North-East Asia,China,2025,10630,57327,2,0.1854274600101174
SA,South Australia,Southern and Central Asia,Nepal,2025,4229,57327,3,0.07376977689395922
SA,South Australia,South-East Asia,Vietnam,2025,3699,57327,4,0.06452456957454603
SA,South Australia,South-East Asia,Philippines,2025,2246,57327,5,0.03917874648943779
